date,temp,feels_like,pressure,humidity,wind_speed,wind_deg,avg_rain,avg_snow,clouds_all,total_rain,total_snow,temp_min,temp_max,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Snow,weather_Thunderstorm,weather_broken clouds,weather_few clouds,weather_fog,weather_haze,weather_heavy intensity rain,weather_heavy snow,weather_light intensity drizzle,weather_light rain,weather_light rain and snow,weather_light snow,weather_mist,weather_moderate rain,weather_overcast clouds,weather_scattered clouds,weather_sky is clear,weather_snow,weather_thunderstorm,weather_thunderstorm with heavy rain,weather_thunderstorm with light rain,weather_thunderstorm with rain,weather_very heavy rain
2014-08-18,78.67041666666667,79.55541666666666,1012.6666666666666,58.25,5.702916666666667,105.83333333333333,0.0,0.0,73.95833333333333,0.0,0.0,67.89,73.13,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-08-19,78.14625,79.23541666666667,1010.75,66.70833333333333,6.807083333333334,73.33333333333333,0.11,0.0,77.91666666666667,0.11,0.0,69.69,73.69,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-08-20,78.4225,79.16083333333333,1014.125,62.875,6.185833333333334,142.5,0.32,0.0,68.125,0.64,0.0,66.09,73.13,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
2014-08-21,77.3125,79.15833333333333,1016.4583333333334,72.29166666666667,2.7795833333333335,87.08333333333333,0.9850000000000001,0.0,51.291666666666664,3.9400000000000004,0.0,64.29,71.35,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
2014-08-22,78.14208333333333,79.78041666666667,1015.5833333333334,73.58333333333333,4.600416666666667,149.58333333333334,0.33,0.0,79.375,0.9900000000000001,0.0,69.57,73.69,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-08-23,74.19083333333333,74.96458333333334,1016.5416666666666,77.75,7.290416666666666,80.83333333333333,0.61,0.0,88.125,5.49,0.0,68.99,71.71,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2014-08-24,74.02625,74.345,1019.9166666666666,67.375,7.53,54.583333333333336,0.0,0.0,78.54166666666667,0.0,0.0,64.29,67.75,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-08-25,74.87541666666667,74.86458333333333,1021.2083333333334,60.208333333333336,5.561666666666667,50.0,0.0,0.0,50.833333333333336,0.0,0.0,60.69,66.67,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-08-26,77.185,77.29791666666667,1021.0,58.666666666666664,4.219166666666667,147.08333333333334,0.0,0.0,42.916666666666664,0.0,0.0,58.89,66.67,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-08-27,78.82166666666667,79.86541666666666,1017.6666666666666,64.04166666666667,3.642916666666667,101.66666666666667,0.0,0.0,16.958333333333332,0.0,0.0,62.49,69.73,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-08-28,81.10458333333334,81.76333333333334,1014.2916666666666,56.375,9.494583333333333,302.5,0.0,0.0,30.75,0.0,0.0,73.29,75.67,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
